2022-06-21T11:27:41.959Z | 1.0.7 | INFO | ibmfl.wml.wml_service                              | Reporting status to WML service
2022-06-21T11:27:42.068Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | Syncing logs
2022-06-21T11:27:42.073Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | Reporting Service Metrics
2022-06-21T11:28:42.249Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | wml_service.is_cancelled = False
2022-06-21T11:28:42.255Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | State execution time elapsed : 483, max_timeout = 43200
2022-06-21T11:28:42.260Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | Reporting Status
2022-06-21T11:28:42.260Z | 1.0.7 | INFO | ibmfl.wml.wml_service                              | Reporting status to WML service
2022-06-21T11:28:42.391Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | Syncing logs
2022-06-21T11:28:42.396Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | Reporting Service Metrics
2022-06-21T11:29:42.626Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | wml_service.is_cancelled = False
2022-06-21T11:29:42.632Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | State execution time elapsed : 543, max_timeout = 43200
2022-06-21T11:29:42.637Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | Reporting Status
2022-06-21T11:29:42.642Z | 1.0.7 | INFO | ibmfl.wml.wml_service                              | Reporting status to WML service
2022-06-21T11:29:42.798Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | Syncing logs
2022-06-21T11:29:42.803Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | Reporting Service Metrics
2022-06-21T11:30:42.959Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | wml_service.is_cancelled = False
2022-06-21T11:30:42.965Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | State execution time elapsed : 603, max_timeout = 43200
2022-06-21T11:30:42.965Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | Reporting Status
2022-06-21T11:30:42.965Z | 1.0.7 | INFO | ibmfl.wml.wml_service                              | Reporting status to WML service
2022-06-21T11:30:43.099Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | Syncing logs
2022-06-21T11:30:43.105Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | Reporting Service Metrics
2022-06-21T11:31:43.357Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | wml_service.is_cancelled = False
2022-06-21T11:31:43.363Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | State execution time elapsed : 664, max_timeout = 43200
2022-06-21T11:31:43.363Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | Reporting Status
2022-06-21T11:31:43.363Z | 1.0.7 | INFO | ibmfl.wml.wml_service                              | Reporting status to WML service
2022-06-21T11:31:43.486Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | Syncing logs
2022-06-21T11:31:43.491Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | Reporting Service Metrics
2022-06-21T11:32:43.704Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | wml_service.is_cancelled = False
2022-06-21T11:32:43.710Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | State execution time elapsed : 724, max_timeout = 43200
2022-06-21T11:32:43.715Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | Reporting Status
2022-06-21T11:32:43.715Z | 1.0.7 | INFO | ibmfl.wml.wml_service                              | Reporting status to WML service
2022-06-21T11:32:43.835Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | Syncing logs
2022-06-21T11:32:43.840Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | Reporting Service Metrics
2022-06-21T11:33:44.044Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | wml_service.is_cancelled = False
2022-06-21T11:33:44.050Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | State execution time elapsed : 784, max_timeout = 43200
2022-06-21T11:33:44.056Z | 1.0.7 | INFO | ibmfl.aggregator.aggregator                        | Reporting Status
2022-06-21T11:33:44.056Z | 1.0.7 | INFO | ibmfl.wml.wml_service                              | Reporting status to WML service
